candidate_id	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
g1_x5_mid_32_68_ema_strict	MNQ	3	2026-03-27	2026-04-19	206.21	2	50.0000	8.9127	98.50
g1_x5_mid_32_68_ema_strict	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
g1_x5_mid_32_68_ema_strict	MNQ	2	2026-03-03	2026-03-26	-180.82	3	33.3333	-4.4564	564.57
g1_x5_mid_32_68_ema_strict	MNQ	0	2026-01-14	2026-02-06	95.38	1	100.0000	0.0000	64.00
g1_x5_mid_32_68_ema_strict	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
g1_x5_mid_32_68_ema_strict	MES	0	2026-01-14	2026-02-06	10.62	4	50.0000	0.5950	105.62
g1_x5_mid_32_68_ema_strict	MNQ	4	2026-04-20	2026-05-14	20.54	2	50.0000	1.7727	67.50
g1_x5_mid_32_68_ema_strict	MES	2	2026-03-03	2026-03-26	22.68	2	50.0000	2.1469	79.20
g1_x5_mid_32_68_ema_strict	MES	3	2026-03-27	2026-04-19	-81.43	2	50.0000	-4.2977	148.30
g1_x5_mid_32_68_ema_strict	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
g1_x5_mid_32_68_ema_strict	MGC	0	2026-01-14	2026-02-06	790.04	2	50.0000	8.3266	362.00
g1_x5_mid_32_68_ema_strict	MES	4	2026-04-20	2026-05-14	-86.25	2	0.0000	-55.3231	94.38
g1_x5_mid_32_68_ema_strict	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
g1_x5_mid_32_68_ema_strict	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
g1_x5_mid_32_68_ema_strict	MGC	4	2026-04-20	2026-05-14	-128.36	5	40.0000	-2.6648	365.36
g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	0	2026-01-14	2026-02-06	95.38	1	100.0000	0.0000	64.00
g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	2	2026-03-03	2026-03-26	-180.82	3	33.3333	-4.4564	564.57
g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	3	2026-03-27	2026-04-19	202.21	2	50.0000	8.6072	98.50
g2_m0_g1_x5_mid_32_68_ema_strict	MNQ	4	2026-04-20	2026-05-14	20.54	2	50.0000	1.7727	67.50
g2_m0_g1_x5_mid_32_68_ema_strict	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
g2_m0_g1_x5_mid_32_68_ema_strict	MES	0	2026-01-14	2026-02-06	0.62	4	50.0000	0.0331	95.62
g2_m0_g1_x5_mid_32_68_ema_strict	MES	2	2026-03-03	2026-03-26	22.68	2	50.0000	2.1469	79.20
g2_m0_g1_x5_mid_32_68_ema_strict	MES	3	2026-03-27	2026-04-19	-25.00	2	50.0000	-2.4670	73.12
g2_m0_g1_x5_mid_32_68_ema_strict	MGC	0	2026-01-14	2026-02-06	790.04	2	50.0000	8.3266	362.00
g2_m0_g1_x5_mid_32_68_ema_strict	MES	4	2026-04-20	2026-05-14	-86.25	2	0.0000	-55.3231	94.38
g2_m0_g1_x5_mid_32_68_ema_strict	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
g2_m0_g1_x5_mid_32_68_ema_strict	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
g2_m0_g1_x5_mid_32_68_ema_strict	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
