candidate_id	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
g1_x5_mid_32_68_ema_strict	MNQ	0	2026-01-14	2026-02-06	95.38	1	100.0000	0.0000	64.00
g1_x5_mid_32_68_ema_strict	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
g1_x5_mid_32_68_ema_strict	MNQ	2	2026-03-03	2026-03-26	-180.82	3	33.3333	-4.4564	564.57
g1_x5_mid_32_68_ema_strict	MNQ	3	2026-03-27	2026-04-19	206.21	2	50.0000	8.9127	98.50
g1_x5_mid_32_68_ema_strict	MNQ	4	2026-04-20	2026-05-14	20.54	2	50.0000	1.7727	67.50
g1_x5_mid_32_68_ema_strict	MES	0	2026-01-14	2026-02-06	10.62	4	50.0000	0.5950	105.62
g1_x5_mid_32_68_ema_strict	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
g1_x5_mid_32_68_ema_strict	MES	2	2026-03-03	2026-03-26	22.68	2	50.0000	2.1469	79.20
g1_x5_mid_32_68_ema_strict	MES	3	2026-03-27	2026-04-19	-81.43	2	50.0000	-4.2977	148.30
g1_x5_mid_32_68_ema_strict	MGC	0	2026-01-14	2026-02-06	790.04	2	50.0000	8.3266	362.00
g1_x5_mid_32_68_ema_strict	MES	4	2026-04-20	2026-05-14	-86.25	2	0.0000	-55.3231	94.38
g1_x5_mid_32_68_ema_strict	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
g1_x5_mid_32_68_ema_strict	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
g1_x5_mid_32_68_ema_strict	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
g1_x5_mid_32_68_ema_strict	MGC	4	2026-04-20	2026-05-14	-128.36	5	40.0000	-2.6648	365.36
tight_30_70	MNQ	3	2026-03-27	2026-04-19	206.21	2	50.0000	8.9127	98.50
tight_30_70	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
tight_30_70	MNQ	2	2026-03-03	2026-03-26	0.00	0	0.0000	0.0000	0.00
tight_30_70	MNQ	0	2026-01-14	2026-02-06	95.38	1	100.0000	0.0000	64.00
tight_30_70	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
tight_30_70	MES	0	2026-01-14	2026-02-06	-98.39	3	33.3333	-6.8066	185.89
tight_30_70	MNQ	4	2026-04-20	2026-05-14	-54.75	1	0.0000	0.0000	67.50
tight_30_70	MES	2	2026-03-03	2026-03-26	22.68	2	50.0000	2.1469	79.20
tight_30_70	MES	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
tight_30_70	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
tight_30_70	MGC	0	2026-01-14	2026-02-06	-137.50	1	0.0000	0.0000	182.50
tight_30_70	MES	4	2026-04-20	2026-05-14	0.00	0	0.0000	0.0000	0.00
tight_30_70	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
tight_30_70	MGC	2	2026-03-03	2026-03-26	380.43	2	100.0000	229.9448	72.00
tight_30_70	MGC	4	2026-04-20	2026-05-14	-285.86	4	25.0000	-6.8369	463.86
mid_32_68	MNQ	0	2026-01-14	2026-02-06	31.62	2	50.0000	2.2309	70.00
mid_32_68	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
mid_32_68	MNQ	2	2026-03-03	2026-03-26	-109.82	3	33.3333	-3.1935	413.57
mid_32_68	MNQ	3	2026-03-27	2026-04-19	206.21	2	50.0000	8.9127	98.50
mid_32_68	MNQ	4	2026-04-20	2026-05-14	-21.71	3	33.3333	-1.6016	111.75
mid_32_68	MES	0	2026-01-14	2026-02-06	10.62	4	50.0000	0.5950	105.62
mid_32_68	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
mid_32_68	MES	2	2026-03-03	2026-03-26	-30.45	3	33.3333	-2.3015	79.20
mid_32_68	MES	3	2026-03-27	2026-04-19	-81.43	2	50.0000	-4.2977	148.30
mid_32_68	MGC	0	2026-01-14	2026-02-06	790.04	2	50.0000	8.3266	362.00
mid_32_68	MES	4	2026-04-20	2026-05-14	-86.25	2	0.0000	-55.3231	94.38
mid_32_68	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
mid_32_68	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
mid_32_68	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
mid_32_68	MGC	4	2026-04-20	2026-05-14	-241.86	6	33.3333	-4.5253	419.86
g1_x2_mid_32_68_baseline_hook	MNQ	0	2026-01-14	2026-02-06	31.62	2	50.0000	2.2309	70.00
g1_x2_mid_32_68_baseline_hook	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
g1_x2_mid_32_68_baseline_hook	MNQ	2	2026-03-03	2026-03-26	-109.82	3	33.3333	-3.1935	413.57
g1_x2_mid_32_68_baseline_hook	MNQ	3	2026-03-27	2026-04-19	206.21	2	50.0000	8.9127	98.50
g1_x2_mid_32_68_baseline_hook	MNQ	4	2026-04-20	2026-05-14	-21.71	3	33.3333	-1.6016	111.75
g1_x2_mid_32_68_baseline_hook	MES	0	2026-01-14	2026-02-06	10.62	4	50.0000	0.5950	105.62
g1_x2_mid_32_68_baseline_hook	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
g1_x2_mid_32_68_baseline_hook	MES	2	2026-03-03	2026-03-26	-30.45	3	33.3333	-2.3015	79.20
g1_x2_mid_32_68_baseline_hook	MES	3	2026-03-27	2026-04-19	-81.43	2	50.0000	-4.2977	148.30
g1_x2_mid_32_68_baseline_hook	MGC	0	2026-01-14	2026-02-06	790.04	2	50.0000	8.3266	362.00
g1_x2_mid_32_68_baseline_hook	MES	4	2026-04-20	2026-05-14	-86.25	2	0.0000	-55.3231	94.38
g1_x2_mid_32_68_baseline_hook	MGC	1	2026-02-07	2026-03-02	0.00	0	0.0000	0.0000	0.00
g1_x2_mid_32_68_baseline_hook	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
g1_x2_mid_32_68_baseline_hook	MGC	3	2026-03-27	2026-04-19	0.00	0	0.0000	0.0000	0.00
g1_x2_mid_32_68_baseline_hook	MGC	4	2026-04-20	2026-05-14	-241.86	6	33.3333	-4.5253	419.86
ema_strict	MNQ	0	2026-01-14	2026-02-06	249.66	3	66.6667	9.6221	144.00
ema_strict	MNQ	1	2026-02-07	2026-03-02	186.50	2	100.0000	83.7383	100.00
ema_strict	MNQ	2	2026-03-03	2026-03-26	-132.91	5	40.0000	-2.2353	564.57
